die	Telefonnummer	Telefonnummern	전화번호	phone number	Diese Telefonnummer kann man sich gut merken.	이 전화번호는 기억하기가 쉽다
die	Anmeldung	Anmeldungen	등록,신고,등록 서류	registration,application, reception, login	Zeigen Sie Ihre Anmeldung dem Beamten.	직원에게 서류를 보여주세요.
die	Adresse	Adressen	주소, 청원서	address	Diese Seite nur für Name und Adresse benutzen!	이 페이지에는 이름과 주소만 쓸 것!
die	Frau	Frauen	여성,아내,여사	woman, wife, Ms.	Wenn frau sich kennt, braucht sie nicht vor sich wegzulaufen.	그녀가 자신을 안다면, 도망갈 필요가 없다.
die	Gitarre	Gitarren	(악기)기타	guitar	An einem Lagerfeuer darf die Gitarre nicht fehlen.	캠프파이어에서 기타가 빠지면 안돼.
die	Information	Informationen	정보, 안내소	information	Mit so wenigen Informationen kann man nur eine Milchmädchenrechnung aufmachen.	그렇게 적은 정보만으로는 잘못된 계산만 나올것이다.
die	Familie	Familien	가족,가정	family	Sonntags sitzt die ganze Familie bei Tisch und isst gemeinsam.	일요일마다 모든 가족이 식탁에 둘러앉아 함께 식사를 합니다.
der	Raum	Räume	방, 공간	room, area, space	Die Band hat bisher keinen geeigneten Raum zum Üben gefunden.	밴드는 지금까지 연습에 필요한 적절한 공간을 찾지 못했었다.
der	Mann	Männer	남성, 남편, 사람	man, husband, fellow	Er ist ein kluger Mann.	그는 현명한 사람이다.
der	Wohnort	Wohnorte	거주지	residence, domicilehttps://de.wiktionary.org/wiki/Wohnort	Wegen beruflicher Veränderung musste er auch seinen Wohnort wechseln.	그는 업무상 변동때문에 거주지를 변경해야 했다.
der	Buchstabe	Buchstaben	문자,활자	letter, charactor	Das große „A“ ist ein Buchstabe der deutschen Sprache.	대문자 'A'는 독일어 문자중 하나이다.
der	Flughafen	Flughäfen	공항	airport	Für uns am nächsten ist der Flughafen Hannover	우리에겐 하노버 공항이 제일 가까워.
der	Herr	Herren	(남자)씨,님,지배자	master, lord, Mr. 	Wie geht es Ihnen heute, Herr Müller?	어떻게 지내시나요 Müller 씨?
der	Kurs	Kurse	시세, 강좌, 진로	price, course, bearing	Das Schiff nahm Kurs auf den Hafen.	그 배는 항로를 항구로 향했다.
der	Kaffeeautomat	Kaffeeautomaten	커피자판기	coffee machine	Zudem gibt es hier ein Studierendencafé mit einem Kaffeeautomaten und einen größeren Aufenthaltsraum für die Studierenden.	그 외에도 커피머신이 구비된 학생카페와 학생들을 위한 라운지가 있습니다.
der	Kaffee	Kaffees	커피	coffee	Ich trinke eine Tasse Kaffee.	나는 커피 한잔을 마신다.
der	Name	Namen	이름,명칭	name	Wie ist dein Name?	너 이름이 뭐니?
das	Geld	Gelder	돈,재산,화폐	money, cash, fund	Zeit ist Geld.	시간이 돈이다.
die	Sprache	Sprachen	말, 언어	language, speech	Ich spreche mehrere Sprachen.	나는 여러 언어를 말한다.
die	Nacht	Nächte	밤, 암흑	night	In der Nacht habe ich ein Geräusch auf dem Hof gehört.	밤에 마당에서 소리를 들었다.
die	Sonne	Sonnen	태양,햇살	sun	Die Sonne geht auf.	해가 뜬다.
die	Wolke	Wolken	구름	cloud	Der Himmel ist mit Wolken bedeckt.	하늘이 구름으로 덮어있다.
die	Uhr	Uhren	시간,시계	clock, watch	Wieviel Uhr ist es?	몇시에요?
der	Mond	Monde	달	moon	Phobos und Deimos sind die beiden Monde des Mars.	포보스와 데이모스 둘다 화성의 달(위성)입니다.
der	Tag	Tage	낮, 주간, 하루	day, date	Die Woche hat sieben Tage.	일주일은 7일이다.
der	Wein	Weine	포도주, 와인	wine	Du trinkst lieber Wein als Bier.	너는 맥주보다 와인을 더 좋아한다.
der	Tee	Tees	차	tee	Kaffee und Tee sind beliebte Getränke.	커피와 차는 가장 사랑받는 음료이다.
das	Frühstück	Frühstücke	아침식사	breakfast	Zum Frühstück isst Jutta täglich eine Schüssel Müsli.	Jutta는 매일 아침식사로 시리얼 한그릇을 먹는다.
das	Mittagessen	Mittagessen	점심식사	lunch	Nach dem Mittagesssen wurde der Unterricht fortgesetzt.	점심식사 이후에 수업이 계속되었다.
das	Abendessen	Abendessen	저녁식사	dinner	Zum Abendessen gibt es heute einen besonders guten Wein.	오늘 저녁에는 특히 좋은 와인이 있습니다.
das	Wasser	Wässer	물	water	Wenn es heiß ist, trinke ich gern Wasser.	나는 더울때 물 마시는걸 좋아합니다.
das	Bier	Biere	맥주	beer	In Deutschland gibt es über 5000 Biere.	독일에는 5000가지가 넘는 맥주가 있습니다.
die	Lektion	Lektionen	강의, 교과서의 장	lesson	Heute behandeln wir in unserem Lehrbuch die Lektion 10.	오늘은 교과서 10장에 대해서 다룰거에요.
die	Seite	Seiten	쪽, 면, 옆쪽	page, site, side	Er wich zur Seite aus.	그는 옆으로 피했다.
die	Übung	Übungen	연습문제, 훈련, 과제	exercise, practice,  tutorial	Übung macht den Meister.	연습이 장인을 만든다.
die	Aufgabe	Aufgaben	과제,임무	task, function	Meine vordringlichste Aufgabe ist es jetzt, mich um die Kinder zu kümmern.	나에게 지금 가장 중요한 일은 아이들을 돌보는 것이다.
die	Antwort	Antworten	대답, 응답	answer, response	Ich erwarte eine Antwort auf meine Frage!	내 질문에 대한 답변을 기다리겠습니다.
die	Hausaufgabe	Hausaufgaben	숙제	homework	Hast du deine Hausaufgaben schon gemacht?	너 숙제했어?
die	Frage	Fragen	질문, 문제	question, issue, problem	Ich stellte ihr eine Frage.	나는 그녀에게 질문을 했다.
der	Satz	Sätze	문장, 정리, 악장	sentence, clause, phrase	Er las den Brief noch einmal Satz für Satz.	그는 그 편지를 한문장 한문장 다시 읽었다.
der	Dialog	Dialoge	대화, 문답	dialogue	Dialoge besitzen meist nur eine OK- und Abbrechen-Schaltfläche.	대화상자에는 대부분 확인과 취소버튼만 있습니다.
die	Oper	Opern	오페라	opera, opera house	Heute Abend gehen wir in die Oper.	오늘저녁에 우리는 오페가 극장에 간다.
die	Person	Personen	사람, 몸	person, mensch	Die Person kann ich nicht ausstehen.	나는 그사람을 참을 수 없다.
die	Musik	Musiken	음악	music	Magst du moderne Musik?	현대음악을 좋아하니?
die	Postkarte	Postkarten	엽서, 우편	postcard	Er versendete im Urlaub eine Postkarte an seine Schwester.	그는 휴가중에 여동생에게 엽서를 보냈다.
die	Tasche	Taschen	손가방, 핸드백, 호주머니	pocket, bag, pouch	Die Tasche ist mir zu schwer.	이 가방은 너무 무거워ㅜㅜ
die	Woche	Wochen	주, 주간	week	In dieser Woche gibt es mal kein Unterricht.	이번주에는 수업이 없다.
die	Katze	Katzen	고양이	cat	Eine Katze jagt eine Maus.	고양이가 쥐를 사냥한다.
die	Freundin	Freundinnen	여자 친구	friend, girlfriend	Thomas hat seit kurzem eine Freundin.	Thomas는 최근에 여자친구를 사귀었어.
die	Farbe	Farben	색, 염료	color, paint, dye	Diese Farbe taugt nichts.	이 색은 어울리지 않아.
der	Mensch	Menschen	인간, 사람	human, person, human being	Der Mensch ist sterblich.	인간은 죽기 마련이다.
der	Monat	Monate	달, 월	month	Meistens vier Wochen sind ein Monat.	대체로 4주가 한달이다.
der	Vormittag	Vormittage	오전	morning	Am Vormittag habe ich Unterricht.	나 오전에 수업있어.
der	Chemiker	Chemiker	화학자	chemists	Wir müssen noch einen Chemiker und zwei Laboranten einstellen.	우리는 화학자와 두명의 조수를 고용해야 합니다.
der	Beruf	Berufe	직업, 사명	profession, occupation, career, job	Was macht sie Von Beruf?	그녀의 직업은 뭐야?
der	Ausländer	Ausländer	외국인	foreigner	Ausländer sind Personen, die eine andere Staatsangehörigkeit haben.	외국인은 다른 국적을 가지고 있는 사람입니다.
der	Freund	Freunde	친구, 남자친구	friend, boyfriend	Sie sind dicke Freunde.	그들은 막역한 친구사이다.
der	Hund	Hunde	개	dog	Mein Hund ist eine Sie.	내 개는 암컷이다.
das	Spiel	Spiele	놀이, 장난	game, play, match	Das ist für mich ein Spiel.	식은 죽 먹기지.
das	Alter	Alten	나이, 노후	age	Im Alter lässt die Konzentration nach.	늙으면 기억력이 안좋아진다.
das	Jahr	Jahre	일년, 나이	year	Der Bau des Hauses dauerte 2 Jahre.	집을 짓는데 2년이 걸렸다.
das	Kind	Kinder	아이, 어린이	child, kid	Die Kinder spielten im Garten.	아이들이 정원에서 놀고있었다.
die	Schule	Schulen	학교, 수업	school	Heute ist keine Schule.	오늘은 수업이 없다.
die	Pflanze	Pflanzen	식물	plant	Diese Pflanze liebt die Sonne.	이 식물은 햇빛을 필요로 한다.
die	Tafel	Tafeln	칠판,판넬	board, panel, table	Lass das Geschriebene an der Tafel stehen!	칠판에 필기한것을 지우지 마세요!
die	Weltkarte	Weltkarten	세계 지도	world map	Das ist für die meisten die normale Weltkarte.	이건 대부분의 사람들을 위한 평범한 세계지도이다.
die	Tür	Türen	문, 입구	door	Kannst du bitte die Tür zumachen!	문 좀 닫아줄래?
die	Lampe	Lampen	램프, 전등	lamp, light	Mach mal bitte die Lampe an, es ist so dunkel hier.	불좀 켜, 여기 너무 어두워.
die	Klasse	Klassen	학급, 학년, 교실, 등급	class, classroom	Die Einordnung der Dinge in Klassen dient dazu, sie dem Geist geordnet darzubieten.	사물을 등급별로 분류하면 순서대로 표현할 수 있다.
der	Papierkorb	Papierkörbe	휴지통	trash, recycle bin	In den Papierkorb sollte wirklich nur Papier geworfen werden, für Teebeutel gibt es den Mülleimer.	이 휴지통에는 종이만 버리세요, 티백은 저 쓰레기통에 버리세요.
der	Radiergummi	Radiergummis	지우개	eraser, rubber	Spitzer und Radiergummi liegen griffbereit auf dem Fußboden neben ihrem Schemel.	연필깎이와 지우개는 그녀 의자 바로 옆 바닥에 있습니다.
der	Tisch	Tische	탁자,음식	table	Wir sehen uns nach Tisch. Sie ist zu Tisch.	식사 후에 보자, 그녀는 식사중이야.
der	Stuhl	Stühle	의자, 좌석, 지위	chair	Auf diesem Stuhl kann man bequem sitzen.	누구나 이 의자에 편히 앉을 수 있어요.
der	Stift	Stifte	펜, 핀, 연필	pen, pin, pencil	Kannst du mir einmal deinen Stift leihen? Ich muss etwas aufschreiben.	펜좀 빌려줄 수 있어? 나 뭐 좀 필기 해야해.
der	Computer	Computer	컴퓨터	computer	Wenn der Computer so billig ist, werde ich sofort zugreifen.	이 컴퓨터가 엄청 싸다면 당장 구매하겠다.
der	Bleistift	Bleistifte	연필	pencil	Schreibt bitte mit Bleistift, damit ihr eure Fehler wieder ausradieren könnt.	틀려도 다시 지울수 있게 연필로 써 주세요.
der	Block	Blöcke	스프링 노트, 용지	block, pad, bloc	Beim Telefon sollte man immer einen Block bereitliegen haben.	전화 중에 항상 노트를 준비해야 합니다.
der	Kuli (Kugelschreiber)	Kulis (Kugelschreiber)	볼펜	pen	Reich mir mal deinen Kuli!	펜좀 줘봐!
das	Regal	Regale	선반, 진열장	shelf, rack, shelves	Meine Regale reichen für die Bücher schon lange nicht mehr aus.	내 선반은 더이상 책을 놓기에 넉넉하지 못하다.
das	Zimmer	Zimmer	방, 실	room, chamber	Sei ruhig und geh auf dein Zimmer!	조용히하고 니 방으로 들어가!
das	Buch	Bücher	책, 장부	book	Ein Buch zu schreiben dauert oft mehrere Jahre.	한권의 책을 쓰는데 보통 몇년이 걸린다.
das	Bild	Bilder	그림, 모습, 광경	view, image, picture, painting	Weißt du, wer dieses Bild gemalt hat?	누가 이 그림을 그렸는지 알아?
das	Fenster	Fenster	창문, 진열창	window	Schließe bitte das Fenster, wenn du den Raum verlässt.	방 나갈때 창문좀 닫아줘.
das	Heft	Hefte	공책	booklet, notebook	Der Lehrer sammelte die Hefte ein.	교사는 공책을 걷었습니다.
die	Minute	Minuten	분, 순간	Minute	Ich werde in fünf Minuten zurück sein.	5분안에 돌아올게.
die	Leute (pl)	Leute	사람들	people	Viele Leute warten auf den Bus.	많은 사람들이 버스를 기다리고 있다.
die	Zeitung	Zeitungen	신문, 알림	newspaper	Hol bitte die Zeitung!	신문좀 가져와!
die	Diät	Diäten	다이어트	diet	Um abzunehmen hatte er schon mehrere Diäten ausprobiert.	그는 살을 빼기위해 이미 여러 다이어트를 시도했었다.
die	Bäckerei	Bäckereien	빵집	bakery	Ich gehe zur Bäckerei, um etwas Brot zu kaufen.	빵좀 사러 빵집에 간다.
die	Einkaufsliste	Einkaufslisten	구매목록	shopping list	Ich schrieb eine Einkaufsliste und ging zum Supermarkt.	나는 구매목록을 작성하고 마트에 갔었다.
die	Arbeit	Arbeiten	노동, 일, 일자리	work, activiy, job, task	Normalerweise esse ich direkt nach der Arbeit zu Abend.	나는 보통 일이 끝난 직후 저녁을 먹는다.
die	Hausfrau	Hausfrauen	주부	housewife	Sie ist eine gute Hausfrau.	그녀는 살림꾼이다.
der	Schuh	Schuhe	신발	shoe	Der Schuh fiel mir ab.	신발이 벗겨졌다.
der	Nachtisch	Nachtische	디저트	dessert	Zum Nachtisch habe ich ein Eis gegessen.	나는 디저트로 아이스크림을 먹었다.
der	Markt	Märkte	시장, 장사	market, marketplace	Er kaufte frisches Obst und Gemüse auf dem örtlichen Markt.	그는 신선한 과일과 채소를 재래시장에서 샀다.
der	Preis	Preise	가격, 보상	price, award	Ich habe Preise verglichen, bevor ich das Produkt bestellt habe.	나는 제품을 주문하기 전에 가격을 비교해본다.
der	Weg	Wege	길, 방법	way, path, distance	Ich bin auf dem Weg nach Hause.	집 가는 길이야.
der	Sport	Sporte	스포츠, 운동, 오락	Sport	Viel Sport fördert die Gesundheit.	많은 운동은 건강을 향상시킨다.
der	Supermarkt	Supermärkte	슈퍼마켓	supermarket	Man kann die Pfandflaschen im Supermarkt zurückgebenzurückgeben, dafür gibt esextra Automaten.	슈퍼마켓에 공병을 돌려줄 수 있고 그것을 위한 별도의 공병수거기가 있다.
der	Alkohol	Alkohole	술, 알코올	alcohol, liquor	Er hat dem Alkohol gefrönt.	그는 술에 빠졌다.
der	Durst	-	갈증, 열망	thirst	Wasser ist das beste Getränk, um Durst zu löschen.	물을 갈증을 해소하는 최고의 음료다.
der	Hunger	-	배고픔	hunger	Ich habe Hunger!	배고파!
der	Flohmarkt	Flohmärkte	벼룩시장	flea market	In Hannover findet am Wochenende regelmäßig ein Flohmarkt statt.	하노버에서는 주말에 정기적으로 벼룩시장이 열린다.
das	Lebensmittel	Lebensmittel	식료품	food, foodstuff	Wir nutzen Kühlschränke, um Lebensmittel zu konservieren.	음식을 보관하기 위해서 냉장고를 사용한다.
das	Sonderangebot	Sonderangebote	특가, 특매	special offer, bargain	Zurzeit haben wir ein Sonderangebot.	현재 세일중입니다
das	Auto	Autos	자동차	car, vehicle	Er hat sich ein gebrauchtes Auto gekauft.	그는 중고차를 샀다.
das	Büro	Büros	사무실, 관청	office	Das Büro des Managers befindet sich am Ende des Gangs.	매니저의 사무실은 복도 끝에 있어요.
das	Fahrrad	Fahrräder	자전거	bicycle, bike	Er hat ein neues Fahrrad geschenkt bekommen.	그는 새 자전거를 선물 받았다.
das	Haus	Häuser	집, 건물	house, building	Mein Haus hat drei Zimmer und eine große Küche.	우리집은 방 3개와 큰 부엌이 있다.
die	Schüssel	Schüsseln	그릇, 사발, 음식	bowl, dish	Hol doch mal die Schüssel aus dem Schrank.	 찬장에서 그릇좀 꺼내줘.
die	Tasse	Tassen	잔, 컵	cup, mug	Eine Tasse Tee mit Honig wird deinen rauen Hals beruhigen.	차에 꿀을 넣어서 마시면 목 아픈게 나아질거야.
die	Waschmaschine	Waschmaschinen	세탁기	washing machine	Diese Waschmaschine nimmt wenig Raum.	이 세탁기는 공간을 적게 차지해.
die	Spüle	Spülen	싱크대	sink	Die Spüle ist voll mit schmutzigem Geschirr.	싱크대에 지저분한 식기들로 가득하다.
die	Gabel	Gabeln	포크, 두갈래길	fork	Messer und Gabeln werden in vielen Ländern beim Essen verwendet.	나이프와 포크는 많은 국가에서 식사할 때 사용된다.
die	Küche	Küchen	부엌, 주방	kitchen	Wir frühstücken immer in der Küche.	우리는 항상 부엌에서 아침을 먹는다.
der	Löffel	Löffel	숟가락	spoon	Ich esse mein Müsli immer mit einem großen Löffel.	나는 항상 큰 수저로 시리얼을 먹는다.
der	Topf	Töpfe	냄비, 단지	pot	Das Wasser im Topf kocht bereits.	냄비에 물이 이미 끓고있어.
der	Teller	Teller	접시	plate	Sie hat den Teller zerbrochen.	그녀는 접시를 깨뜨렸다.
der	Wasserkocher	Wasserkocher	포트	kettle, electric kettle	Ich verwende einen elektrischen Wasserkocher, um Tee zu kochen.	차를 만들기 위해서 전기포트를 사용한다.
der	Kühlschrank	Kühlschränke	냉장고	refrigerator	Kann die Wurst wieder in den Kühlschrank?	소시지를 다시 냉장고에 넣어도 되겠죠?
der	Geschirrspüler	Geschirrspüler	식기세척기	dishwasher	Ich räumte den Tisch ab und gab das Geschirr in den Geschirrspüler.	나는 식탁을 치우고 식기를 식기세척기에 넣었다.
der	Herd	Herde	가스레인지	stove, range	Er nutzte den Herd, um eine Suppe zu kochen.	그는 스프를 요리하기 위해 레인지를 사용했다.
das	Messer	Messer	나이프, 칼	knife, blade	Sei vorsichtig, das Messer ist sehr scharf.	조심해, 그 칼 날카로워.
das	Besteck	Bestecke	식기류, 날붙이	cutlery, flatware	Ich brachte die Teller und das Besteck ins Esszimmer.	나는 접시와 식기를 식당으로 가지고왔다.
das	Essstäbchen	Essstäbchen	젓가락	chopstick	Ich esse mein Sushi immer mit Essstäbchen.	나는 항상 젓가락으로 초밥을 먹는다.
das	Geschirr	Geschirre	식기, 그릇	dishes, crockery	Wir haben uns neues Geschirr gekauft.	우리는 새 식기를 샀다.
die	Soße	Soßen	소스	sauce, dressing	Der Koch rührte einen Esslöffel Sahne in die Soße.	요리사는 소스에 크림 한스푼을 넣었다.
die	Nudel	Nudeln	국수, 면류	noodle	Ich esse gerne Nudeln mit Tomatensauce.	나는 토마토소스와 먹는 국수를 좋아한다.
die	Melone	Melonen	멜론	melon	Als Vorspeise gibt es Parmaschinken mit Melone.	전채요리로 멜론을 곁들인 파마산 햄이 있습니다.
die	Traube	Trauben	포도, 	grape	Trauben wachsen an Reben.	포도는 포도나무에서 자란다.
die	Wurst	Würste	소시지	sausage	Salami ist eine italienische Wurst.	살라미는 이탈리안식 소시지이다.
die	Zwiebel	Zwiebeln	양파	onion	Es ist leicht, Traurigkeit vorzutäuschen, wenn man eine Zwiebel schält.	양파를 까면 슬픈 척 하기 쉽다.
die	Zitrone	Zitronen	레몬	lemon	Das Eis schmeckt nach Zitrone.	아이스크림에서 레몬맛이 난다.
die	Suppe	Suppen	수프	soup	Vor dem Hauptgang servierte uns der Kellner eine schmackhafte Suppe.	웨이터가 메인 코스 전에 우리에게 맛있는 수프를 제공했다.
die	Tomate	Tomaten	토마토	tomato	Jetzt sind Tomaten nicht zu haben.	토마토는 이제 철이 지났다.
die	Birne	Birnen	배, 전구	pear, bulb	Ich esse lieber Birnen als Äpfel.	나는 사과보다 배가 좋다.
die	Gurke	Gurken	오이	cucumber	Ich mag keine Gewürzgurken, weil sie mir zu sauer sind.	나는 너무 맛이 셔서 피클을 안좋아해.
die	Kartoffel	Kartoffeln	감자	potato	Die besten Pommes werden aus frischen Kartoffeln gemacht.	최고의 감자튀김은 신선한 감자로 만든다.
die	Kirsche	Kirschen	체리, 버찌, 벚나무	cherry	Eine Kirsche ist eine runde, rote Steinfrucht.	체리는 빨갛고 둥근 열매입니다.
die	Marmelade	Marmeladen	잼	jam, marmalade 	Marmelade stand auf dem Tisch.	잼은 식탁위에 있어.
der	Reis	Reise	밥, 쌀, 벼	rice	Ich mag Pasta ebenso wie Reis.	나는 밥만큼 파스타를 좋아한다.
der	Saft	Säfte	주스, 수액	juice, sap	Ich drücke eine Orange aus, um frischen Saft zu erhalten.	신선한 주스를 얻기위해 오렌지 즙을 낸다.
der	Schinken	Schinken	허벅지, 햄	ham, gammon	Mein Opa isst jeden Tag Brot mit Schwarzwälder Schinken.	할아버지는 매일 빵과 슈바르츠발트 햄을 드십니다.
der	Salat	Salate	샐러드, 상추	salad, lettuce	Ein Salat ist leicht zu verdauen.	샐러드는 소화가 잘된다.
der	Zucker	Zucker	설탕, 당뇨병	sugar, diabetes	Im Rezept steht, dass ich zuerst die Butter und den Zucker vermengen soll.	레시피에 따르면, 먼저 버터와 설탕을 섞어야한다.
der	Apfel	Äpfel	사과	apple	Der Apfel lacht mich an.	사과가 맛있어 보이네.
der	Blumenkohl	Blumenkohle	콜리플라워	cauliflower	Blumenkohl ist ein nahrhaftes Gemüse.	콜리플라워는 영양가 있는 야채입니다.
der	Käse	Käse	치즈	cheese	Der Käse hatte einen entsetzlichen Geruch.	이 치즈는 끔찍한 냄새가 났다.
der	Fisch	Fische	생선	fish	Er isst lieber Fisch als Fleisch.	그는 고기보다 생선을 더 좋아한다.
der	Kuchen	Kuchen	케잌	cake	Dieser Kuchen war köstlich.	이 케이크 맛있었어!
das	Salz	Salze	소금	salt	Die Suppe braucht eine Prise Salz.	이 수프에는 소금 한줌을 넣어야해.
das	Obst	-	과일	fruit	Das Obst ist noch nicht reif.	그 과일은 아직 덜 익었어
das	Öl	Öle	기름	oil	Er malte mit Öl auf Leinwand.	그는 캔버스에 유화를 그렸다.
das	Brot	Brote	빵	bread	Heute habe ich ein ungesäuertes Brot gebacken.	오늘 나는 이스트 안넣고 빵을 구웠다.
das	Eis	-	아이스크림, 얼음	ice, ice cream	Außer mir wollte niemand ein Eis.	아무도 아이스크림 먹기 싫대. 나 빼고
das	Ei	Eier	달걀, 알	egg	Hennen brüten ihre Eier aus.	암탉은 알을 낳는다.
das	Brötchen	Brötchen	작은빵, 독일에서 아침에 자주 먹는 빵 	bread rolls	Ich esse oft Brötchen mit Butter und trinke Bier dazu.	나는 종종 빵에 버터를 발라서 맥주랑 같이 먹어요
das	Fleisch	-	고기	meat, flesh	Ißt du gern Fleisch?	고리 좋아해?
das	Gemüse	Gemüse	채소, 야채	vegetables	Das Mittagessen ist die Hauptmahlzeit des Tages und besteht meist aus Kartoffeln, Gemüse und Fleisch. 	점심은 하루의 주된 식사시간이고 대부분 감자와 야채, 고기로 구성된다.
die	Packung	Packungen	포장, 짐	package, pack	Wichtige Informationen sind auf die Packung aufgedruckt.	중요한 정보는 포장에 적혀있어요.
die	Scheibe	Scheiben	원반, 자른 조각	disk, slice	Ich habe drei Scheiben Brot geschnitten.	나는 빵 세조각을 잘랐다.
die	Tüte	Tüten	봉지, 콘	bag, cone	Ich weiß nicht, ob ich so eine große Tüte habe.	큰 봉지가 있는지 잘 모르겠다.
die	Dose	Dosen	통조림, 캔	can	Ich habe eine Dose Bier und eine Flasche Wasser.	맥주한캔이랑 물한병 있어.
die	Flasche	Flaschen	병	bottle	Mein Vater bestellte eine Flasche Bier.	아빠가 맥주한병을 주문했다.
der	Liter	Liter	리터	liter	Sie kaufte Brot und ein Liter Milch.	그녀는 빵과 우유 1리터를 샀다.
der	Becher	Becher	잔, 컵(일반적으로 손잡이가 없는)	cup, beaker	Ich trinke gern einen Becher Milch, bevor ich ins Bett gehe.	나는 자러가기 전에 우유 한 잔 마시는 것을 좋아한다.
das	Stück	Stücke	조각	piece, bit, part	Ich brauche ein Stück Holz, um dieses kaputte Spielzeug zu reparieren.	이 망가진 장난감을 고치려면 나무조각이 필요하다.
